stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
43,0.5,2.5,43.7183614000096,,43.7035981999943,43.7183614000096,44.219378000008874,44.219378000008874,44.219378000008874,44.5192613999825,44.721296500007156,right,2.5,1,1,0.4865743000409566,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
44,0.5,2.5,44.73677089996636,,44.721492399985436,44.73677089996636,45.23636689997511,45.23636689997511,45.23636689997511,45.536043800006155,45.70575690001715,left,-2.5,0,0,0.45229119999567047,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
45,0.5,3.0,45.71923340001376,,45.70595269999467,45.71923340001376,46.220036200014874,46.220036200014874,46.220036200014874,,46.254918699967675,right,3.0,0,0,0.02167270000791177,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
46,0.5,3.5,46.269310700008646,,46.25511819997337,46.269310700008646,46.769772799976636,46.769772799976636,46.769772799976636,47.06789740000386,47.31940619996749,left,-3.5,1,1,0.5444519000011496,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
47,0.5,3.5,47.33717179996893,,47.31955580000067,47.33717179996893,47.81868129997747,47.81868129997747,47.851756100018974,48.11852129996987,48.2700711999787,left,-3.5,1,1,0.4399212999851443,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
48,0.5,3.5,48.28594149998389,,48.2702341999975,48.28594149998389,48.769803199975286,48.769803199975286,48.78631699999096,49.07050789997447,49.339178599999286,left,-3.5,1,1,0.5611429999698885,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
49,0.5,3.0,49.353742000006605,,49.33940459997393,49.353742000006605,49.853175800002646,49.853175800002646,49.853175800002646,50.15324780001538,50.33915529999649,right,3.0,1,1,0.4725025999941863,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
50,0.5,3.0,50.35396249999758,,50.33937269996386,50.35396249999758,50.851954800018575,50.851954800018575,50.86808340001153,51.15168479998829,51.37141750002047,left,-3.0,1,1,0.5050403000204824,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
51,0.5,3.0,51.386837199970614,,51.371630700014066,51.386837199970614,51.88514460000442,51.88514460000442,51.902061600005254,52.18533499998739,52.42068119999021,left,-3.0,1,1,0.5303750999737531,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
52,0.5,2.5,52.436883400019724,,52.420862999977544,52.436883400019724,52.9351592999883,52.9351592999883,52.951793399988674,53.23535069997888,53.79028710001148,left,-2.5,1,1,0.8514457999845035,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
